## Date
## emapper-2.1.12
## /path/to/emapper.py -m diamond --sensmode fast --itype proteins -i  path/to/selected_proteins.fasta -o path/to/output --data_dir ./egg-db/
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
30-1-6_NODE_121951_length_782_cov_1.312057_2	553178.CAPGI0001_1698	6.52e-61	193.0	COG0503@1|root,COG0503@2|Bacteria,4NP7K@976|Bacteroidetes,1I29Z@117743|Flavobacteriia,1ERCS@1016|Capnocytophaga	976|Bacteroidetes	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis	apt	-	2.4.2.7	ko:K00759	ko00230,ko01100,map00230,map01100	-	R00190,R01229,R04378	RC00063	ko00000,ko00001,ko01000,ko04147	-	-	-	Pribosyltran
30-1-6_NODE_121959_length_782_cov_1.272340_1	1041826.FCOL_07435	2.4e-54	181.0	COG1028@1|root,COG1028@2|Bacteria,4NFXD@976|Bacteroidetes,1HX5Z@117743|Flavobacteriia,2NTHQ@237|Flavobacterium	976|Bacteroidetes	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
30-1-6_NODE_121964_length_782_cov_1.253901_1	1163408.UU9_15160	3.87e-35	139.0	COG4783@1|root,COG4783@2|Bacteria,1MVFV@1224|Proteobacteria,1RP5S@1236|Gammaproteobacteria,1X2ZN@135614|Xanthomonadales	135614|Xanthomonadales	S	Functions as both a chaperone and a metalloprotease. Maintains the integrity of the outer membrane by promoting either the assembly or the elimination of outer membrane proteins, depending on their folding state	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M48,TPR_19
30-1-6_NODE_121967_length_782_cov_1.229787_1	1385521.N803_06875	3.45e-78	241.0	COG2360@1|root,COG2360@2|Bacteria,2IFT7@201174|Actinobacteria,4FFYP@85021|Intrasporangiaceae	201174|Actinobacteria	O	Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine	aat	-	2.3.2.6	ko:K00684	-	-	R03813,R11443,R11444	RC00055,RC00064	ko00000,ko01000	-	-	-	Leu_Phe_trans
30-1-6_NODE_121968_length_782_cov_1.208511_1	997346.HMPREF9374_2105	0.000316	49.3	COG4106@1|root,COG4106@2|Bacteria,1V21K@1239|Firmicutes,4HE11@91061|Bacilli,27C7X@186824|Thermoactinomycetaceae	91061|Bacilli	H	Nodulation protein S (NodS)	bioC	GO:0003674,GO:0003824,GO:0006082,GO:0006732,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009102,GO:0009108,GO:0009110,GO:0009987,GO:0016053,GO:0017144,GO:0018130,GO:0019752,GO:0032787,GO:0034641,GO:0042364,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.1.1.197	ko:K02169	ko00780,ko01100,map00780,map01100	M00572	R09543	RC00003,RC00460	ko00000,ko00001,ko00002,ko01000	-	-	-	Methyltransf_11,Methyltransf_23,Methyltransf_25,Methyltransf_31
30-1-6_NODE_121970_length_782_cov_1.178723_1	1229172.JQFA01000002_gene5079	2.63e-08	60.8	COG5523@1|root,COG5523@2|Bacteria,1G75W@1117|Cyanobacteria,1HCH1@1150|Oscillatoriales	1117|Cyanobacteria	S	integral membrane protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF975
30-1-6_NODE_121977_length_782_cov_1.140426_1	1304874.JAFY01000007_gene1805	1.81e-51	177.0	COG1377@1|root,COG1377@2|Bacteria,3TAIV@508458|Synergistetes	508458|Synergistetes	N	Required for formation of the rod structure in the basal body of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin	flhB	-	-	ko:K02401	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035,ko02044	3.A.6.2	-	-	Bac_export_2
30-1-6_NODE_121983_length_782_cov_1.126241_1	1144932.ATTF01000011_gene647	1.3e-142	427.0	COG0653@1|root,COG0653@2|Bacteria,1MUJZ@1224|Proteobacteria,2TTBF@28211|Alphaproteobacteria,4BP6T@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane	secA	GO:0000166,GO:0002790,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008144,GO:0008150,GO:0008320,GO:0008565,GO:0009306,GO:0009987,GO:0015031,GO:0015399,GO:0015405,GO:0015440,GO:0015450,GO:0015462,GO:0015627,GO:0015628,GO:0015833,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0022884,GO:0030554,GO:0031224,GO:0031226,GO:0031522,GO:0032553,GO:0032555,GO:0032559,GO:0032940,GO:0032991,GO:0033036,GO:0033220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0042886,GO:0042887,GO:0043167,GO:0043168,GO:0043492,GO:0043952,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0097159,GO:0097367,GO:0098776,GO:1901265,GO:1901363,GO:1904680	-	ko:K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4	-	-	SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW
30-1-6_NODE_121986_length_782_cov_1.104965_1	46429.BV95_01583	5.82e-28	117.0	COG0407@1|root,COG0407@2|Bacteria,1MUG1@1224|Proteobacteria,2TQQV@28211|Alphaproteobacteria,2JZZP@204457|Sphingomonadales	204457|Sphingomonadales	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	hemE	-	4.1.1.37	ko:K01599	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03197,R04972	RC00872	ko00000,ko00001,ko00002,ko01000	-	-	-	URO-D
30-1-6_NODE_121996_length_782_cov_1.042553_1	466038.KI421440_gene310	1.49e-07	53.1	COG0305@1|root,COG0305@2|Bacteria,1MUG9@1224|Proteobacteria,2TSF9@28211|Alphaproteobacteria,4BPP7@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	L	it exhibits DNA-dependent ATPase activity and contains distinct active sites for ATP binding, DNA binding, and interaction with DnaC protein, primase, and other prepriming proteins	dnaB	-	3.6.4.12	ko:K02314	ko03030,ko04112,map03030,map04112	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	DnaB,DnaB_C
30-1-6_NODE_121996_length_782_cov_1.042553_2	649743.HMPREF0972_00500	1.59e-12	68.6	COG0359@1|root,COG0359@2|Bacteria,2IKX7@201174|Actinobacteria,4D40T@85005|Actinomycetales	201174|Actinobacteria	J	binds to the 23S rRNA	rplI	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02939	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L9_C,Ribosomal_L9_N
30-1-6_NODE_129870_length_754_cov_1.062038_2	1042376.AFPK01000037_gene606	1.03e-71	231.0	COG0037@1|root,COG0037@2|Bacteria,4NEJS@976|Bacteroidetes,1HYBN@117743|Flavobacteriia,4066H@61432|unclassified Flavobacteriaceae	976|Bacteroidetes	D	TilS substrate C-terminal domain	tilS	-	6.3.4.19	ko:K04075	-	-	R09597	RC02633,RC02634	ko00000,ko01000,ko03016	-	-	-	ATP_bind_3,TilS_C
30-1-6_NODE_129874_length_754_cov_1.036928_1	1120945.ATUW01000017_gene1121	2.63e-23	101.0	COG1957@1|root,COG1957@2|Bacteria,2GP6N@201174|Actinobacteria,4D4IS@85005|Actinomycetales	201174|Actinobacteria	F	Inosine-uridine preferring nucleoside hydrolase	-	-	3.2.2.1	ko:K01239	ko00230,ko00760,ko01100,map00230,map00760,map01100	-	R01245,R01273,R01677,R01770,R02143	RC00033,RC00063,RC00122,RC00318,RC00485	ko00000,ko00001,ko01000	-	-	-	IU_nuc_hydro
30-1-6_NODE_129875_length_754_cov_1.019202_1	1096769.Pelub83DRAFT_1427	7.05e-52	176.0	COG2896@1|root,COG2896@2|Bacteria,1MW3W@1224|Proteobacteria,2TQQP@28211|Alphaproteobacteria,4BPRJ@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	H	Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate	moaA	-	4.1.99.22	ko:K03639	ko00790,ko01100,ko04122,map00790,map01100,map04122	-	R09394	RC03420	ko00000,ko00001,ko01000	-	-	-	Fer4_12,Mob_synth_C,Radical_SAM
30-1-6_NODE_129879_length_754_cov_1.004431_1	909943.HIMB100_00006870	1.6e-110	323.0	COG0778@1|root,COG0778@2|Bacteria,1PKUV@1224|Proteobacteria,2U5MZ@28211|Alphaproteobacteria,4BQE2@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	C	Nitroreductase family	-	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
30-1-6_NODE_129880_length_754_cov_0.985229_2	439497.RR11_825	3.2e-57	199.0	COG1018@1|root,COG1600@1|root,COG1018@2|Bacteria,COG1600@2|Bacteria,1MU6E@1224|Proteobacteria,2TRE9@28211|Alphaproteobacteria,4NB2F@97050|Ruegeria	28211|Alphaproteobacteria	C	Reductive dehalogenase subunit	-	-	-	ko:K03863	ko00627,ko01120,map00627,map01120	-	R05274	RC00392,RC01533	ko00000,ko00001	-	-	-	Dehalogenase,Fer2,Fer4_16,Fer4_7,NAD_binding_1
30-1-6_NODE_129885_length_754_cov_0.958641_1	1227266.HMPREF1551_02654	1.13e-09	61.6	COG2503@1|root,COG2503@2|Bacteria,4NJIJ@976|Bacteroidetes,1I0BS@117743|Flavobacteriia,1ERMV@1016|Capnocytophaga	976|Bacteroidetes	M	Lipoprotein e(P4) family	-	-	-	-	-	-	-	-	-	-	-	-	Acid_phosphat_B
30-1-6_NODE_129888_length_754_cov_0.951256_1	1268240.ATFI01000001_gene2807	4.38e-28	120.0	COG3250@1|root,COG3250@2|Bacteria,4NEDP@976|Bacteroidetes,2FX7A@200643|Bacteroidia,4AT5P@815|Bacteroidaceae	976|Bacteroidetes	G	Carbohydrate esterase, sialic acid-specific acetylesterase	-	-	3.1.1.53	ko:K05970	-	-	-	-	ko00000,ko01000	-	-	-	Glyco_hydro_2_N,SASA
30-1-6_NODE_129891_length_754_cov_0.906942_1	397287.C807_02273	4.22e-14	73.6	2DN9Q@1|root,32WAD@2|Bacteria,1VRWI@1239|Firmicutes,24ZBK@186801|Clostridia,27IYR@186928|unclassified Lachnospiraceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
30-1-6_NODE_129898_length_754_cov_0.846381_1	466038.KI421440_gene1247	2.04e-140	412.0	COG0706@1|root,COG0706@2|Bacteria,1MV5M@1224|Proteobacteria,2TSTJ@28211|Alphaproteobacteria,4BPS2@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	U	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins	yidC	GO:0002790,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0008565,GO:0009306,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0032940,GO:0033036,GO:0042886,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	-	ko:K03217	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044,ko03029	2.A.9	-	-	60KD_IMP,YidC_periplas
30-1-6_NODE_129899_length_754_cov_0.838996_2	859653.HIMB5_00007560	3.09e-61	192.0	COG0097@1|root,COG0097@2|Bacteria,1R9YZ@1224|Proteobacteria,2TV09@28211|Alphaproteobacteria,4BQC3@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	J	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center	rplF	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02933	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L6
30-1-6_NODE_129900_length_754_cov_0.838996_1	177437.HRM2_35370	5.38e-36	131.0	COG1006@1|root,COG1006@2|Bacteria,1RGU1@1224|Proteobacteria,42SX0@68525|delta/epsilon subdivisions,2WP3K@28221|Deltaproteobacteria,2MKBY@213118|Desulfobacterales	28221|Deltaproteobacteria	P	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	mnhC	-	-	ko:K05567	-	-	-	-	ko00000,ko02000	2.A.63.1,2.A.63.2	-	-	Oxidored_q2
30-1-6_NODE_129901_length_754_cov_0.833087_1	484018.BACPLE_00242	1.03e-69	219.0	COG0127@1|root,COG0127@2|Bacteria,4NM42@976|Bacteroidetes,2FP46@200643|Bacteroidia,4AMVS@815|Bacteroidaceae	976|Bacteroidetes	F	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions	rdgB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009141,GO:0009143,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0046483,GO:0046700,GO:0047429,GO:0055086,GO:0071704,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576	3.6.1.66	ko:K02428	ko00230,map00230	-	R00426,R00720,R01855,R02100,R02720,R03531	RC00002	ko00000,ko00001,ko01000	-	-	-	Ham1p_like
31-1-2_NODE_19214_length_2095_cov_1.694252_2	394.NGR_c35040	5.68e-49	170.0	COG5486@1|root,COG5486@2|Bacteria,1NFSK@1224|Proteobacteria,2U4IW@28211|Alphaproteobacteria,4BA8I@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Predicted metal-binding integral membrane protein (DUF2182)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2182
31-1-2_NODE_19216_length_2095_cov_1.664519_1	340099.Teth39_0225	7.19e-68	232.0	COG0548@1|root,COG0548@2|Bacteria,1TP0N@1239|Firmicutes,2486J@186801|Clostridia,42ET5@68295|Thermoanaerobacterales	186801|Clostridia	F	Belongs to the acetylglutamate kinase family. ArgB subfamily	argB	-	2.7.2.8	ko:K00930	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230	M00028	R02649	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000	-	-	iHN637.CLJU_RS10565	AA_kinase
31-1-2_NODE_19218_length_2094_cov_4.641547_2	1203190.CAJP01000028_gene68	6.08e-34	129.0	COG0340@1|root,COG0340@2|Bacteria,2GN8Q@201174|Actinobacteria,22MF9@1653|Corynebacteriaceae	201174|Actinobacteria	H	Biotin-(Acetyl-CoA carboxylase) ligase	birA	-	6.3.4.15	ko:K03524	ko00780,ko01100,map00780,map01100	-	R01074,R05145	RC00043,RC00070,RC00096,RC02896	ko00000,ko00001,ko01000,ko03000	-	-	-	BPL_C,BPL_LplA_LipB
31-1-2_NODE_19225_length_2094_cov_1.773426_1	344747.PM8797T_18986	1.83e-173	511.0	COG3119@1|root,COG3119@2|Bacteria,2IXR4@203682|Planctomycetes	203682|Planctomycetes	P	COG3119 Arylsulfatase A and related enzymes	-	-	3.1.6.1	ko:K01130	ko00140,ko00600,map00140,map00600	-	R03980,R04856	RC00128,RC00231	ko00000,ko00001,ko01000	-	-	-	Sulfatase
31-1-2_NODE_19226_length_2094_cov_1.604859_2	1205680.CAKO01000002_gene2196	8.37e-103	315.0	COG0489@1|root,COG0489@2|Bacteria,1MU7R@1224|Proteobacteria,2TRDM@28211|Alphaproteobacteria,2JP8N@204441|Rhodospirillales	204441|Rhodospirillales	D	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	-	-	-	ko:K03593	-	-	-	-	ko00000,ko03029,ko03036	-	-	-	FeS_assembly_P,ParA
31-1-2_NODE_19227_length_2094_cov_1.600892_1	452662.SJA_C1-18680	7.74e-170	498.0	COG0318@1|root,COG0318@2|Bacteria,1MU6G@1224|Proteobacteria,2TR2W@28211|Alphaproteobacteria,2K2N6@204457|Sphingomonadales	204457|Sphingomonadales	IQ	acyl-CoA synthetase (AMP-forming) AMP-acid ligase II	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C
31-1-2_NODE_19228_length_2094_cov_1.535944_2	243090.RB8482	9.76e-114	338.0	COG0688@1|root,COG0688@2|Bacteria,2J4CF@203682|Planctomycetes	203682|Planctomycetes	I	Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer)	-	-	4.1.1.65	ko:K01613	ko00564,ko01100,ko01110,map00564,map01100,map01110	M00093	R02055	RC00299	ko00000,ko00001,ko00002,ko01000	-	-	-	PS_Dcarbxylase
31-1-2_NODE_19228_length_2094_cov_1.535944_3	1232410.KI421413_gene698	3.72e-29	110.0	COG3030@1|root,COG3030@2|Bacteria,1MZJJ@1224|Proteobacteria,42VMT@68525|delta/epsilon subdivisions,2WPFB@28221|Deltaproteobacteria,43V91@69541|Desulfuromonadales	28221|Deltaproteobacteria	S	FxsA cytoplasmic membrane protein	fsxA	-	-	ko:K07113	-	-	-	-	ko00000	-	-	-	FxsA
31-1-2_NODE_19229_length_2093_cov_12.918155_2	1123360.thalar_02776	2.79e-182	529.0	COG1249@1|root,COG1249@2|Bacteria,1MU2U@1224|Proteobacteria,2TR8H@28211|Alphaproteobacteria	28211|Alphaproteobacteria	C	COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes	lpdA	-	1.8.1.4	ko:K00382	ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00036,M00307,M00532	R00209,R01221,R01698,R03815,R07618,R08549	RC00004,RC00022,RC00583,RC02742,RC02833,RC02834	br01601,ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Biotin_lipoyl,Pyr_redox_2,Pyr_redox_dim
31-1-2_NODE_19235_length_2093_cov_2.284226_2	945713.IALB_1562	3.08e-137	415.0	COG0793@1|root,COG0793@2|Bacteria	2|Bacteria	M	Belongs to the peptidase S41A family	ctp	-	3.4.21.102	ko:K03797	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	PDZ_2,Peptidase_S41
31-1-2_NODE_19237_length_2093_cov_2.235615_2	697282.Mettu_2604	1.22e-32	123.0	COG0576@1|root,COG0576@2|Bacteria,1RH8T@1224|Proteobacteria,1S5W5@1236|Gammaproteobacteria,1XF1X@135618|Methylococcales	135618|Methylococcales	O	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	grpE	-	-	ko:K03687	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	GrpE
31-1-2_NODE_19237_length_2093_cov_2.235615_3	999141.GME_12594	4.4e-134	399.0	COG0443@1|root,COG0443@2|Bacteria,1MVEN@1224|Proteobacteria,1RMDD@1236|Gammaproteobacteria,1XI2A@135619|Oceanospirillales	135619|Oceanospirillales	O	Heat shock 70 kDa protein	dnaK	-	-	ko:K04043	ko03018,ko04212,ko05152,map03018,map04212,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	1.A.33.1	-	-	HSP70
31-1-2_NODE_19238_length_2093_cov_2.125992_2	794903.OPIT5_24815	2.75e-24	97.4	COG1815@1|root,COG1815@2|Bacteria,46WGM@74201|Verrucomicrobia,3K89P@414999|Opitutae	414999|Opitutae	N	Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body	-	-	-	ko:K02387	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flg_bb_rod
31-1-2_NODE_19238_length_2093_cov_2.125992_3	1123371.ATXH01000016_gene1814	4.42e-37	130.0	COG1558@1|root,COG1558@2|Bacteria,2GHSW@200940|Thermodesulfobacteria	200940|Thermodesulfobacteria	N	flagellar basal-body rod protein FlgC	-	-	-	ko:K02388	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flg_bb_rod,Flg_bbr_C
31-1-2_NODE_19238_length_2093_cov_2.125992_4	382464.ABSI01000016_gene694	5.73e-15	73.6	COG1677@1|root,COG1677@2|Bacteria,46WQE@74201|Verrucomicrobia	74201|Verrucomicrobia	N	Flagellar hook-basal body complex protein FliE	fliE	-	-	ko:K02408	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	FliE
31-1-2_NODE_19239_length_2093_cov_2.068452_2	1449353.JQMQ01000005_gene3519	1.38e-37	143.0	COG1878@1|root,COG1878@2|Bacteria,2GJ59@201174|Actinobacteria,2NEQH@228398|Streptacidiphilus	201174|Actinobacteria	S	Putative cyclase	-	-	-	-	-	-	-	-	-	-	-	-	Cyclase
31-1-2_NODE_19240_length_2093_cov_1.975198_3	1280685.AUKC01000004_gene1654	1.56e-08	60.5	COG0344@1|root,COG0344@2|Bacteria,1VA3J@1239|Firmicutes,24JA2@186801|Clostridia,4BYRS@830|Butyrivibrio	186801|Clostridia	I	Glycerol-3-phosphate acyltransferase	plsY	-	2.3.1.15	ko:K08591	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	G3P_acyltransf
31-1-2_NODE_19240_length_2093_cov_1.975198_4	743722.Sph21_5262	2.69e-30	113.0	COG1765@1|root,COG1765@2|Bacteria,4NQ66@976|Bacteroidetes,1ISTX@117747|Sphingobacteriia	976|Bacteroidetes	O	PFAM OsmC-like protein	osmC	-	-	-	-	-	-	-	-	-	-	-	OsmC
31-1-2_NODE_19241_length_2093_cov_1.945933_2	765869.BDW_04710	3.12e-83	256.0	COG0708@1|root,COG0708@2|Bacteria,1MVII@1224|Proteobacteria,42NY7@68525|delta/epsilon subdivisions,2MSYJ@213481|Bdellovibrionales,2WIXK@28221|Deltaproteobacteria	213481|Bdellovibrionales	L	exodeoxyribonuclease III	exoA	-	3.1.11.2	ko:K01142	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Exo_endo_phos
31-1-2_NODE_19242_length_2093_cov_1.926587_2	1510531.JQJJ01000008_gene3890	2.4e-151	438.0	COG0182@1|root,COG0182@2|Bacteria,1MUPM@1224|Proteobacteria,2TSPP@28211|Alphaproteobacteria,3JQQS@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)	mtnA	-	5.3.1.23	ko:K08963	ko00270,ko01100,map00270,map01100	M00034	R04420	RC01151	ko00000,ko00001,ko00002,ko01000	-	-	-	IF-2B
31-1-2_NODE_19244_length_2093_cov_1.853671_2	1121434.AULY01000006_gene496	5.57e-41	164.0	COG0358@1|root,COG0358@2|Bacteria,1MUHC@1224|Proteobacteria,42MDZ@68525|delta/epsilon subdivisions,2WJ9Y@28221|Deltaproteobacteria,2M8VP@213115|Desulfovibrionales	28221|Deltaproteobacteria	L	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication	dnaG	-	-	ko:K02316	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	DnaB_bind,Toprim_2,Toprim_4,Toprim_N,zf-CHC2
31-1-2_NODE_19245_length_2093_cov_1.802579_2	660470.Theba_1924	2.23e-29	109.0	2B9KW@1|root,322Z5@2|Bacteria,2GEB1@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
31-1-2_NODE_19245_length_2093_cov_1.802579_5	1042375.AFPL01000051_gene163	1.25e-33	121.0	COG0517@1|root,COG0517@2|Bacteria,1QTZR@1224|Proteobacteria,1S7SY@1236|Gammaproteobacteria,468PA@72275|Alteromonadaceae	1236|Gammaproteobacteria	S	Domain in cystathionine beta-synthase and other proteins.	-	-	-	-	-	-	-	-	-	-	-	-	CBS
